"Date","Time","Open","High","Low","Close","Volume","MACD","MACDAvg","MACDDiff","RSI","SlowK","SlowD","FastAvg","SlowAvg","DistF","DistS","FGS","FLS","OpenBar"
02/24/2012,16:00,1.3315,1.3597,1.3291,1.3569,1206654,-0.018381,-0.022988,0.004607,51.31,56.64,44.82,1.3160,1.3949,0.0409,0.0380,0,20,0
03/02/2012,16:00,1.3569,1.3596,1.3297,1.3315,1361680,-0.017034,-0.021797,0.004763,45.93,63.43,53.49,1.3174,1.3931,0.0141,0.0616,0,21,0
03/09/2012,16:00,1.3309,1.3401,1.3205,1.3216,1348197,-0.016575,-0.020753,0.004178,44.00,68.60,62.89,1.3188,1.3913,0.0028,0.0697,0,22,0
03/16/2012,16:00,1.3223,1.3298,1.3108,1.3278,686766,-0.015531,-0.019708,0.004177,45.55,60.05,64.03,1.3232,1.3893,0.0046,0.0615,0,23,0
03/23/2012,16:00,1.3284,1.3399,1.3239,1.3369,1163546,-0.013811,-0.018529,0.004718,47.83,63.83,64.16,1.3291,1.3870,0.0078,0.0501,0,24,0
03/30/2012,16:00,1.3370,1.3490,1.3296,1.3448,1146546,-0.011675,-0.017158,0.005483,49.79,73.05,65.64,1.3332,1.3849,0.0116,0.0401,0,25,0
04/06/2012,16:00,1.3464,1.3486,1.3139,1.3186,1100947,-0.011959,-0.016118,0.004159,43.89,69.49,68.79,1.3319,1.3821,0.0133,0.0635,0,26,0
04/13/2012,16:00,1.3200,1.3317,1.3136,1.3182,1140373,-0.012077,-0.015310,0.003233,43.80,62.25,68.27,1.3311,1.3786,0.0129,0.0604,0,27,0
04/20/2012,16:00,1.3174,1.3331,1.3099,1.3318,1320330,-0.010947,-0.014437,0.003490,47.54,57.20,62.98,1.3315,1.3764,0.0003,0.0446,0,28,0
04/27/2012,16:00,1.3293,1.3372,1.3206,1.3361,1148415,-0.009594,-0.013469,0.003875,48.70,60.07,59.84,1.3324,1.3748,0.0037,0.0387,0,29,0
05/04/2012,16:00,1.3346,1.3386,1.3181,1.3188,1040697,-0.009804,-0.012736,0.002931,44.44,53.36,56.88,1.3286,1.3726,0.0098,0.0538,0,30,0
05/11/2012,16:00,1.3129,1.3167,1.3005,1.3023,1310272,-0.011174,-0.012423,0.001250,40.77,28.84,47.42,1.3257,1.3700,0.0234,0.0677,0,31,0
05/18/2012,16:00,1.2984,1.3006,1.2743,1.2838,1619508,-0.013595,-0.012658,-0.000937,37.08,11.08,31.09,1.3219,1.3662,0.0381,0.0824,0,32,0
05/25/2012,16:00,1.2876,1.2925,1.2595,1.2617,1541614,-0.017100,-0.013546,-0.003554,33.21,5.51,15.14,1.3153,1.3626,0.0536,0.1009,0,33,0
06/01/2012,16:00,1.2669,1.2724,1.2387,1.2512,1584300,-0.020489,-0.014935,-0.005554,31.52,7.90,8.16,1.3067,1.3588,0.0555,0.1076,0,34,0
06/08/2012,16:00,1.2534,1.2726,1.2485,1.2606,1527448,-0.022161,-0.016380,-0.005781,34.72,11.04,8.15,1.2983,1.3555,0.0377,0.0949,0,35,0
06/15/2012,16:00,1.2739,1.2762,1.2537,1.2729,743618,-0.022237,-0.017551,-0.004686,38.74,20.09,13.01,1.2937,1.3518,0.0208,0.0789,0,36,0
06/22/2012,16:00,1.2836,1.2841,1.2610,1.2654,1542547,-0.022642,-0.018569,-0.004072,37.23,25.02,18.72,1.2885,1.3484,0.0231,0.0830,0,37,0
06/29/2012,16:00,1.2646,1.2785,1.2499,1.2752,1352466,-0.021919,-0.019239,-0.002679,40.49,29.43,24.85,1.2828,1.3455,0.0076,0.0703,0,38,0
07/06/2012,16:00,1.2760,1.2764,1.2353,1.2365,1103741,-0.024190,-0.020229,-0.003960,33.17,19.29,24.58,1.2728,1.3413,0.0363,0.1048,0,39,0
07/13/2012,16:00,1.2362,1.2427,1.2253,1.2333,1106713,-0.025949,-0.021373,-0.004575,32.64,13.56,20.76,1.2643,1.3369,0.0310,0.1036,0,40,0
07/20/2012,16:00,1.2338,1.2417,1.2235,1.2250,1192672,-0.027693,-0.022637,-0.005056,31.26,3.13,11.99,1.2566,1.3327,0.0316,0.1077,0,41,0
07/27/2012,16:00,1.2214,1.2479,1.2133,1.2399,1493160,-0.027556,-0.023621,-0.003935,36.47,10.21,8.97,1.2522,1.3288,0.0123,0.0889,0,42,0
08/03/2012,16:00,1.2392,1.2495,1.2222,1.2464,1393679,-0.026615,-0.024220,-0.002396,38.65,16.74,10.02,1.2506,1.3247,0.0042,0.0783,0,43,0
08/10/2012,16:00,1.2480,1.2532,1.2327,1.2379,925287,-0.026253,-0.024626,-0.001627,36.86,23.81,16.92,1.2493,1.3203,0.0114,0.0824,0,44,0
08/17/2012,16:00,1.2374,1.2472,1.2340,1.2406,949464,-0.025455,-0.024792,-0.000663,37.85,26.90,22.48,1.2473,1.3165,0.0067,0.0759,0,45,0
08/24/2012,16:00,1.2424,1.2675,1.2380,1.2603,1175460,-0.022968,-0.024427,0.001459,44.61,36.64,29.12,1.2460,1.3141,0.0143,0.0538,0,46,0
08/31/2012,16:00,1.2594,1.2722,1.2549,1.2664,996500,-0.020272,-0.023596,0.003325,46.55,53.69,39.08,1.2461,1.3116,0.0203,0.0452,0,47,0
09/07/2012,16:00,1.2663,1.2902,1.2585,1.2880,1220108,-0.016205,-0.022118,0.005913,52.85,77.04,55.79,1.2474,1.3103,0.0406,0.0223,0,48,0
09/14/2012,16:00,1.2891,1.3250,1.2839,1.3199,725675,-0.010289,-0.019752,0.009463,60.29,90.36,73.70,1.2558,1.3096,0.0641,0.0103,0,49,0
09/21/2012,16:00,1.3206,1.3254,1.3001,1.3072,1286757,-0.006550,-0.017112,0.010562,56.47,91.52,86.31,1.2632,1.3087,0.0440,0.0015,0,50,0
09/28/2012,16:00,1.3059,1.3062,1.2910,1.2933,1304346,-0.004655,-0.014620,0.009966,52.54,83.51,88.46,1.2700,1.3066,0.0233,0.0133,0,51,0
10/05/2012,16:00,1.2929,1.3151,1.2884,1.3113,1299073,-0.001681,-0.012032,0.010352,56.73,80.85,85.29,1.2771,1.3049,0.0342,0.0064,0,52,0
10/12/2012,16:00,1.3104,1.3105,1.2904,1.3036,1111885,0.000054,-0.009615,0.009669,54.52,79.78,81.38,1.2828,1.3024,0.0208,0.0012,0,53,0
10/19/2012,16:00,1.3034,1.3218,1.2969,1.3101,1159859,0.001931,-0.007306,0.009237,56.08,84.78,81.80,1.2901,1.3008,0.0200,0.0093,0,54,0
10/26/2012,16:00,1.3105,1.3161,1.2958,1.3010,1167684,0.002654,-0.005314,0.007968,53.32,81.71,82.09,1.2961,1.2991,0.0049,0.0019,0,55,0
11/02/2012,16:00,1.3021,1.3098,1.2897,1.2902,920730,0.002328,-0.003786,0.006114,50.16,77.12,81.20,1.2991,1.2977,0.0089,0.0075,1,0,0
11/09/2012,16:00,1.2897,1.2952,1.2764,1.2787,1400252,0.001129,-0.002803,0.003932,46.97,65.49,74.77,1.3003,1.2965,0.0216,0.0178,2,0,0
11/16/2012,16:00,1.2790,1.2878,1.2736,1.2801,1224713,0.000289,-0.002184,0.002473,47.41,55.73,66.11,1.2995,1.2951,0.0194,0.0150,3,0,0
11/23/2012,16:00,1.2817,1.3065,1.2810,1.3059,1000706,0.001685,-0.001410,0.003095,54.82,58.93,60.05,1.2981,1.2942,0.0078,0.0117,4,0,0
11/30/2012,16:00,1.3045,1.3102,1.2952,1.3071,1172755,0.002855,-0.000557,0.003413,55.14,66.67,60.44,1.2981,1.2940,0.0090,0.0131,5,0,0
12/07/2012,16:00,1.3066,1.3201,1.2948,1.2999,1370082,0.003166,0.000187,0.002978,52.75,71.84,65.81,1.2988,1.2937,0.0011,0.0062,6,0,0
12/14/2012,16:00,1.2966,1.3244,1.2958,1.3229,530513,0.005207,0.001191,0.004016,58.88,75.53,71.35,1.2999,1.2940,0.0230,0.0289,7,0,0
12/21/2012,16:00,1.3244,1.3379,1.3214,1.3245,977279,0.006875,0.002328,0.004547,59.27,77.38,74.92,1.3020,1.2948,0.0225,0.0297,8,0,0
12/28/2012,16:00,1.3250,1.3353,1.3233,1.3289,399503,0.008455,0.003553,0.004901,60.40,86.20,79.70,1.3039,1.2958,0.0250,0.0331,9,0,0
01/04/2013,16:00,1.3283,1.3347,1.3063,1.3138,790017,0.008391,0.004521,0.003870,54.79,75.89,79.82,1.3052,1.2960,0.0086,0.0178,10,0,0
01/11/2013,16:00,1.3143,1.3431,1.3083,1.3404,1331005,0.010368,0.005690,0.004677,61.56,81.93,81.34,1.3102,1.2962,0.0302,0.0442,11,0,0
01/18/2013,16:00,1.3433,1.3471,1.3320,1.3383,1385128,0.011631,0.006878,0.004752,60.79,82.83,80.22,1.3162,1.2964,0.0221,0.0419,12,0,0
01/25/2013,16:00,1.3383,1.3543,1.3327,1.3527,1247585,0.013636,0.008230,0.005406,64.12,94.14,86.30,1.3234,1.2969,0.0293,0.0558,13,0,0
02/01/2013,16:00,1.3526,1.3773,1.3476,1.3723,1423197,0.016616,0.009907,0.006709,68.10,94.03,90.33,1.3301,1.2979,0.0422,0.0744,14,0,0
02/08/2013,16:00,1.3712,1.3716,1.3414,1.3424,1643345,0.016376,0.011201,0.005175,57.61,85.60,91.26,1.3336,1.2976,0.0088,0.0448,15,0,0
02/15/2013,16:00,1.3432,1.3581,1.3366,1.3416,1213594,0.015937,0.012148,0.003789,57.36,75.70,85.11,1.3378,1.2978,0.0038,0.0438,16,0,0
02/22/2013,16:00,1.3415,1.3495,1.3205,1.3239,1268065,0.014000,0.012518,0.001481,51.90,59.17,73.49,1.3379,1.2978,0.0140,0.0261,17,0,0
03/01/2013,16:00,1.3253,1.3379,1.3025,1.3078,1861663,0.011038,0.012222,-0.001184,47.47,43.86,59.58,1.3362,1.2974,0.0284,0.0104,18,0,0
03/08/2013,16:00,1.3074,1.3193,1.3013,1.3061,1051750,0.008456,0.011469,-0.003013,47.01,25.72,42.92,1.3339,1.2968,0.0278,0.0093,19,0,0
03/15/2013,16:00,1.3052,1.3159,1.2962,1.3106,583247,0.006696,0.010515,-0.003818,48.42,15.86,28.48,1.3336,1.2961,0.0230,0.0145,20,0,0
03/22/2013,16:00,1.2979,1.3063,1.2896,1.3035,1689770,0.004674,0.009347,-0.004672,46.33,15.89,19.16,1.3299,1.2958,0.0264,0.0077,21,0,0
