"Date","Time","Open","High","Low","Close","Volume","MACD","MACDAvg","MACDDiff","RSI","SlowK","SlowD","FastAvg","SlowAvg","DistF","DistS","FGS","FLS","OpenBar"
06/22/2012,16:00,1.2639,1.2676,1.2610,1.2654,251484,-0.004847,-0.007547,0.002699,44.21,59.19,69.85,1.2680,1.2912,0.0026,0.0258,0,53,1
06/25/2012,16:00,1.2646,1.2651,1.2563,1.2588,214261,-0.005218,-0.007081,0.001863,40.32,36.08,56.15,1.2680,1.2900,0.0092,0.0312,0,54,1
06/26/2012,16:00,1.2592,1.2624,1.2533,1.2588,273601,-0.005449,-0.006755,0.001306,40.32,26.82,40.70,1.2679,1.2887,0.0091,0.0299,0,55,1
06/27/2012,16:00,1.2586,1.2601,1.2537,1.2550,197694,-0.005871,-0.006578,0.000707,38.09,13.65,25.52,1.2666,1.2873,0.0116,0.0323,0,56,1
06/28/2012,16:00,1.2561,1.2617,1.2499,1.2518,278698,-0.006390,-0.006540,0.000150,36.27,9.50,16.66,1.2648,1.2859,0.0130,0.0341,0,57,1
06/29/2012,16:00,1.2533,1.2785,1.2525,1.2752,388212,-0.004857,-0.006204,0.001347,53.71,29.13,17.43,1.2651,1.2849,0.0101,0.0097,0,58,1
07/02/2012,16:00,1.2760,1.2764,1.2660,1.2675,223942,-0.004215,-0.005806,0.001591,48.96,43.66,27.43,1.2651,1.2837,0.0024,0.0162,0,59,1
07/03/2012,16:00,1.2678,1.2721,1.2652,1.2704,184384,-0.003432,-0.005331,0.001899,50.73,61.79,44.86,1.2643,1.2826,0.0061,0.0122,0,60,1
07/05/2012,16:00,1.2621,1.2701,1.2456,1.2483,403817,-0.004543,-0.005174,0.000630,39.50,38.17,47.87,1.2616,1.2810,0.0133,0.0327,0,61,1
07/06/2012,16:00,1.2490,1.2496,1.2353,1.2365,291598,-0.006303,-0.005399,-0.000904,35.05,20.08,40.01,1.2588,1.2790,0.0223,0.0425,0,62,1
07/09/2012,16:00,1.2362,1.2418,1.2348,1.2403,218836,-0.007307,-0.005781,-0.001526,37.49,6.91,21.72,1.2563,1.2772,0.0160,0.0369,0,63,1
07/10/2012,16:00,1.2410,1.2427,1.2328,1.2345,226816,-0.008473,-0.006319,-0.002153,35.31,5.67,10.89,1.2538,1.2751,0.0193,0.0406,0,64,1
07/11/2012,16:00,1.2343,1.2390,1.2304,1.2314,229414,-0.009537,-0.006963,-0.002574,34.16,5.53,6.04,1.2511,1.2731,0.0197,0.0417,0,65,1
07/12/2012,16:00,1.2333,1.2341,1.2258,1.2288,204599,-0.010469,-0.007664,-0.002805,33.19,3.74,4.98,1.2485,1.2710,0.0197,0.0422,0,66,1
07/13/2012,16:00,1.2293,1.2349,1.2253,1.2333,227048,-0.010722,-0.008276,-0.002446,36.56,7.75,5.67,1.2466,1.2691,0.0133,0.0358,0,67,1
