"Date","Time","Open","High","Low","Close","Volume","MACD","MACDAvg","MACDDiff","RSI","SlowK","SlowD","FastAvg","SlowAvg","DistF","DistS","FGS","FLS","OpenBar"
06/28/2013,16:00,1.3035,1.3467,1.3000,1.3066,4707506,-0.014273,-0.017117,0.002845,47.38,59.02,56.98,1.3124,1.3577,0.0058,0.0511,0,17,0
07/31/2013,16:00,1.3057,1.3390,1.2798,1.3382,5084690,-0.011075,-0.015909,0.004834,51.40,62.52,58.84,1.3169,1.3560,0.0213,0.0178,0,18,1
08/30/2013,16:00,1.3348,1.3497,1.3216,1.3251,4352155,-0.009488,-0.014625,0.005136,49.71,67.07,62.87,1.3190,1.3543,0.0061,0.0292,0,19,1
09/30/2013,16:00,1.3255,1.3610,1.3148,1.3564,2996922,-0.005640,-0.012828,0.007188,53.65,76.77,68.79,1.3239,1.3529,0.0325,0.0035,0,20,1
10/31/2013,16:00,1.3561,1.3871,1.3512,1.3629,3978683,-0.002043,-0.010671,0.008628,54.45,78.27,74.04,1.3276,1.3514,0.0353,0.0115,0,21,1
11/29/2013,16:00,1.3627,1.3660,1.3331,1.3624,4018723,0.000760,-0.008385,0.009144,54.37,82.43,79.16,1.3274,1.3492,0.0350,0.0132,0,22,1
12/31/2013,16:00,1.3625,1.3932,1.3561,1.3827,3031391,0.004566,-0.005795,0.010360,57.04,83.58,81.42,1.3345,1.3474,0.0482,0.0353,0,23,1
01/31/2014,16:00,1.3765,1.3779,1.3518,1.3523,4391437,0.005070,-0.003622,0.008692,52.11,78.06,81.35,1.3410,1.3443,0.0113,0.0080,0,24,1
02/28/2014,16:00,1.3527,1.3865,1.3515,1.3861,3697258,0.008105,-0.001276,0.009381,56.60,83.14,81.59,1.3475,1.3433,0.0386,0.0428,1,0,0
03/31/2014,16:00,1.3825,1.4008,1.3744,1.3816,3477556,0.010030,0.000985,0.009045,55.85,80.73,80.64,1.3554,1.3431,0.0262,0.0385,2,0,1
04/30/2014,16:00,1.3815,1.3945,1.3711,1.3912,3034075,0.012191,0.003226,0.008965,57.16,89.92,84.60,1.3639,1.3435,0.0273,0.0477,3,0,1
05/30/2014,16:00,1.3907,1.4035,1.3628,1.3676,3278356,0.011862,0.004953,0.006908,53.01,82.35,84.33,1.3668,1.3437,0.0008,0.0239,4,0,1
06/30/2014,16:00,1.3673,1.3742,1.3544,1.3738,3319377,0.011963,0.006355,0.005608,53.95,79.62,83.97,1.3717,1.3445,0.0021,0.0293,5,0,1
07/31/2014,16:00,1.3737,1.3745,1.3409,1.3432,3021393,0.009466,0.006977,0.002488,48.74,66.10,76.02,1.3704,1.3467,0.0272,0.0035,6,0,1
08/29/2014,16:00,1.3430,1.3487,1.3174,1.3175,3458276,0.005351,0.006652,-0.001301,44.82,52.57,66.10,1.3658,1.3485,0.0483,0.0310,7,0,1
09/30/2014,16:00,1.3170,1.3201,1.2607,1.2664,4435948,-0.002011,0.004919,-0.006930,38.24,27.37,48.68,1.3562,1.3476,0.0898,0.0812,8,0,1
10/31/2014,16:00,1.2665,1.2922,1.2518,1.2559,5873377,-0.008593,0.002217,-0.010810,37.04,11.36,30.43,1.3436,1.3473,0.0877,0.0914,0,1,1
11/28/2014,16:00,1.2544,1.2634,1.2390,1.2465,4510946,-0.014401,-0.001107,-0.013295,35.94,3.77,14.17,1.3330,1.3449,0.0865,0.0984,0,2,0
12/31/2014,16:00,1.2476,1.2599,1.2124,1.2127,3746550,-0.021485,-0.005182,-0.016302,32.26,2.35,5.82,1.3156,1.3411,0.1029,0.1284,0,3,1
01/30/2015,16:00,1.2130,1.2133,1.1122,1.1316,5529614,-0.033259,-0.010798,-0.022461,25.52,4.20,3.44,1.2906,1.3377,0.1590,0.2061,0,4,1
02/27/2015,16:00,1.1334,1.1559,1.1197,1.1215,3589069,-0.042910,-0.017220,-0.025690,24.82,3.75,3.43,1.2637,1.3333,0.1422,0.2118,0,5,0
03/31/2015,16:00,1.1203,1.1262,1.0487,1.0768,5655529,-0.053549,-0.024486,-0.029063,21.96,6.06,4.67,1.2346,1.3273,0.1578,0.2505,0,6,1
04/30/2015,16:00,1.0766,1.1287,1.0543,1.1280,5721829,-0.057189,-0.031027,-0.026163,31.66,11.66,7.16,1.2100,1.3221,0.0820,0.1941,0,7,1
05/29/2015,16:00,1.1238,1.1486,1.0835,1.0997,5476833,-0.061647,-0.037151,-0.024497,29.48,14.88,10.87,1.1857,1.3157,0.0860,0.2160,0,8,1
